title,url,team,topics,score,source,tags,published_at,fetched_at,score_source_w,score_decay,score_sentiment_kicker
"Bills RB Darrynton Evans placed on IR, sign RB Jarveon Howard and WR Grant DuBose",https://www.buffalobills.com/news/bills-rb-darrynton-evans-placed-on-ir-sign-rb-jarveon-howard-and-wr-grant-dubose,Bills,"['Injury', 'Transaction']",3.785659868476846,https://www.buffalobills.com,"TEAM,Bills",,2025-08-19 17:15:58.668115+00:00,1.4,0.4160065789534996,0.0
Bills announce this injury update on Jordan Hancock,https://www.buffalobills.com/news/bills-announce-this-injury-update-on-jordan-hancock,Bills,['Injury'],3.1864368670715204,https://www.buffalobills.com,"TEAM,Bills",,2025-08-19 17:15:58.668115+00:00,1.4,0.4160065834056287,0.8567999999999999
"'No matter what, we are going to fight' | Bills players reflect after loss in Chicago",https://www.buffalobills.com/news/no-matter-what-we-are-going-to-fight-bills-players-reflect-after-loss-in-chicago,Bills,['Injury'],2.8119168545993283,https://www.buffalobills.com,"TEAM,Bills",,2025-08-19 17:15:58.668115+00:00,1.4,0.4160065811784516,0.48227999999999993
Bills sign DE Nelson Ceaser,https://www.buffalobills.com/news/bills-sign-de-nelson-ceaser,Bills,['Transaction'],1.4560230574865773,https://www.buffalobills.com,"TEAM,Bills",,2025-08-19 17:15:58.669115+00:00,1.4,0.4160065878533078,0.0
"Bills Foundation awards major grants to Buffalo Prep, No Kid Hungry and Massachusetts Avenue Project to address food insecurity",https://www.buffalobills.com/news/bills-foundation-awards-major-grants-to-buffalo-prep-no-kid-hungry-and-massachusetts-avenue-project-to-address-food-insecurity,Bills,[],0.0,https://www.buffalobills.com,"TEAM,Bills",,2025-08-19 17:15:58.669115+00:00,1.0,1.0,0.0
Bills practice notes | Top 3 things to know from Aug. 15 joint practice vs. Chicago Bears,https://www.buffalobills.com/news/bills-practice-notes-top-3-things-to-know-from-aug-15-joint-practice-vs-chicago-bears,Bills,[],0.0,https://www.buffalobills.com,"TEAM,Bills",,2025-08-19 17:15:58.669115+00:00,1.0,1.0,0.0
"How to watch, stream & listen | Bills at Bears | 2025 Preseason Week 2",https://www.buffalobills.com/news/how-to-watch-stream-listen-bills-at-bears-2025-preseason-week-2,Bills,[],0.0,https://www.buffalobills.com,"TEAM,Bills",,2025-08-19 17:15:58.668115+00:00,1.0,1.0,0.0
"Bears 38, Bills 0 | Final score, game highlights, key stats | Preseason Week 2",https://www.buffalobills.com/news/bears-38-bills-0-final-score-game-highlights-key-stats-preseason-week-2,Bills,[],0.0,https://www.buffalobills.com,"TEAM,Bills",,2025-08-19 17:15:58.668115+00:00,1.0,1.0,0.0
5 players to watch in Bills at Bears | 2025 Preseason Week 2,https://www.buffalobills.com/news/5-players-to-watch-in-bills-vs-bears-2025-preseason-week-2,Bills,[],0.0,https://www.buffalobills.com,"TEAM,Bills",,2025-08-19 17:15:58.668115+00:00,1.0,1.0,0.0
Top 3 things we learned from Bills at Bears | 2025 Preseason Week 2,https://www.buffalobills.com/news/top-3-things-we-learned-from-bills-at-bears-2025-preseason-week-2,Bills,[],0.0,https://www.buffalobills.com,"TEAM,Bills",,2025-08-19 17:15:58.668115+00:00,1.0,1.0,0.0
"2025 Opponent Preview: Buffalo Bills, Week 11",https://www.buccaneers.com/news/2025-opponent-preview-buffalo-bills-week-11-bucs,Bills,[],0.0,https://www.buccaneers.com,"TEAM,Buccaneers",,2025-08-19 16:53:29.123071+00:00,1.0,1.0,0.0
